aX,aY,aZ,gX,gY,gZ
0.743,-0.057,0.298,-12.207,-114.014,-13.611
0.751,-0.027,0.269,-17.273,-106.873,-10.803

-0.344,0.019,2.507,70.190,18.616,-9.949
-0.436,-0.048,2.775,88.684,30.029,-11.414
-0.566,-0.143,3.068,106.323,47.180,-10.986
-0.704,-0.287,3.339,124.451,71.777,-5.615
-0.855,-0.481,3.545,140.076,105.164,4.578
-1.034,-0.651,3.634,143.311,150.391,21.667
-1.251,-0.702,3.544,128.113,207.947,42.664
-1.418,-0.655,3.253,98.999,268.433,62.622
-1.552,-0.583,2.878,64.514,322.693,77.759
-1.682,-0.488,2.452,31.494,368.042,87.830
-1.812,-0.373,1.974,11.108,404.297,96.375
-1.907,-0.228,1.469,5.859,433.655,104.309
-1.923,-0.136,0.970,11.841,453.491,109.009
-1.909,-0.100,0.583,18.250,459.229,109.436
-1.769,-0.104,0.293,18.860,449.890,107.605
-1.603,-0.046,0.010,9.827,436.768,107.788
-1.429,0.036,-0.176,-1.038,419.800,105.469
-1.319,0.103,-0.297,-4.578,398.743,101.196
-1.191,0.158,-0.365,2.258,382.568,99.609
-1.031,0.172,-0.418,18.250,371.826,99.792
-0.861,0.183,-0.482,34.546,365.112,100.403
-0.672,0.246,-0.576,43.945,358.459,101.074
-0.442,0.312,-0.651,47.180,347.046,97.107
-0.156,0.263,-0.700,44.495,329.712,87.463
0.093,0.207,-0.755,31.006,315.796,77.026
0.264,0.150,-0.841,7.446,310.486,68.726
0.153,0.127,-0.991,-21.362,308.777,58.105
0.048,0.136,-1.097,-49.561,303.345,46.143
0.114,0.142,-1.227,-66.467,296.326,38.086
0.285,0.212,-1.413,-80.017,286.499,28.442
0.429,0.302,-1.483,-83.435,269.165,16.968
0.486,0.302,-1.458,-61.951,243.652,9.888
0.561,0.298,-1.375,-29.541,222.900,8.057
0.609,0.278,-1.260,5.310,205.750,7.996
0.618,0.208,-1.108,40.527,191.406,9.155
0.620,0.138,-1.034,64.758,181.946,10.864
0.643,0.060,-1.035,74.097,177.795,12.085
0.676,0.040,-1.099,72.388,175.842,13.733
0.693,0.090,-1.187,63.721,171.204,16.418
0.740,0.161,-1.296,54.260,166.077,18.494
0.772,0.160,-1.406,48.523,159.729,17.456
0.803,0.116,-1.492,42.236,151.550,14.954
0.827,0.060,-1.564,30.518,141.296,12.207
0.870,0.035,-1.602,12.268,127.075,9.583
